id,code,description,city,city_eng,street,area,zip,building,latitude,longitude,count
72,POP-WRO201,DUŻY BEN,Wrocław,wroclaw,Kościuszki,dolnośląskie,50-442,83-89/ U6,51.10108,17.04013,0
73,POP-WRO202,DUŻY BEN,Wrocław,wroclaw,Wałbrzyska,dolnośląskie,53-235,3 B,51.06364,16.98387,0
74,POP-WRO203,DUŻY BEN,Wrocław ,wroclaw,Krawiecka,dolnośląskie,50-148,3D,51.10885,17.03771,0
75,POP-WRO204,DUŻY BEN,Wrocław,wroclaw,Powstańców Śląskich,dolnośląskie,53-317,139/1B,51.08734,17.01541,0
76,POP-WRO205,DUŻY BEN,Wrocław ,wroclaw,Kilińskiego,dolnośląskie,50-263,31,51.11942,17.03963,0
77,POP-WRO206,DUŻY BEN,Wrocław,wroclaw,Traugutta,dolnośląskie,50-418,78B/U2,51.10286,17.05115,0
78,POP-WRO207,DUŻY BEN,Wrocław ,wroclaw,Dubois,dolnośląskie,50-208,4,51.11691,17.03292,0
79,POP-WRO208,DUŻY BEN,Wrocław ,wroclaw,Kukuczki,dolnośląskie,50-017,7/U2,51.07201,17.03953,0
80,POP-WRO209,DUŻY BEN,Wrocław,wroclaw,Traugutta ,dolnośląskie,50-419,107/1A,51.10045,17.05335,0
81,POP-WRO210,DUŻY BEN,Wrocław,wroclaw,Pomorska,dolnośląskie,50-219,44B,51.12129,17.03109,0
82,POP-WRO211,DUŻY BEN,Wrocław,wroclaw,Więckowskiego,dolnośląskie,50-431,16/I1C,51.09842,17.05308,0
83,POP-WRO212,DUŻY BEN,Wrocław,wroclaw,Pereca,dolnośląskie,53-444,12,51.09979,17.008,0
84,POP-WRO213,DUŻY BEN,Wrocław,wroclaw,Jedności Narodowej,dolnośląskie,50-302,242A,51.12933,17.05405,0
85,POP-WRO214,DUŻY BEN,Wrocław,wroclaw,Nyska,dolnośląskie,50-505,69,51.08458,17.05279,0
86,POP-WRO215,DUŻY BEN,Wrocław,wroclaw,Zakładowa,dolnośląskie,50-231,20E,51.13085,17.0442,0
87,POP-WRO216,DUŻY BEN,Wrocław,wroclaw,Żeromskiego,dolnośląskie,50-312,53,51.12345,17.0481,0
88,POP-WRO217,DUŻY BEN,Wrocław,wroclaw,Hubska,dolnośląskie,50-502,78 B,51.09004,17.04521,0
89,POP-WRO218,DUŻY BEN,Wrocław ,wroclaw,Gajowa,dolnośląskie,50-520,25,51.09196,17.0403,0
90,POP-WRO219,DUŻY BEN,Wrocław ,wroclaw,Piłsudskiego,dolnośląskie,50-017,96/1A,51.100193851263,17.035358334625,0
91,POP-WRO220,SZYBKIE ZAKUPY,Wrocław,wroclaw,Wincentego Stysia,dolnośląskie,53-525,41,51.099574966549,17.018596106426,0
92,POP-WRO221,DUŻY BEN,Wrocław,wroclaw,Wojanowska,dolnośląskie,54-050,5,51.15457,16.89904,0
93,POP-WRO222,DUŻY BEN,Wrocław,wroclaw,Kościuszki,dolnośląskie,50-439,122B,51.09978,17.04631,0
94,POP-WRO223,DUŻY BEN,Wrocław,wroclaw,Tęczowa,dolnośląskie,53-602,22,51.10675,17.01907,0
95,POP-WRO224,DUŻY BEN,Wrocław,wroclaw,Stalowa,dolnośląskie,53-440,63/LU1B,51.10157,17.00014,0
96,POP-WRO225,DUŻY BEN,Wrocław,wroclaw,Grabiszyńska,dolnośląskie,53-236,287,51.09431,16.97829,0
97,POP-WRO227,PUNKT OPŁAT. KSERO. PIECZĄTKI,Wrocław,wroclaw,Kotlarska,dolnośląskie,50-150,2A,51.111461003621,17.034496307373,0
98,POP-WRO228,HAPPY PACK-SKLEP ZE ZDROWĄ ŻYWNOŚCIĄ,Wrocław,wroclaw,Żelazna,dolnośląskie,53-428,52,51.098754021302,17.005826130283,0
99,POP-WRO229,HAPPY PACK-SKLEP Z BALONAMI,Wrocław,wroclaw,Cukrowa,dolnośląskie,52-316,13/20,51.063147226969,16.978410720825,0
100,POP-WRO230,SERWIS FREZAREK,Wrocław,wroclaw,Kościuszki,dolnośląskie,50-439,152B,51.099250510802,17.049768107717,0
101,POP-WRO231,HAPPY PACK-CENTRUM WYSYŁEK,Wrocław,wroclaw,Świeradowska,dolnośląskie,50-559,47 B,51.076742891432,17.040212558844,0
102,POP-WRO232,A-HOBBY ELEKTRONIK,Wrocław,wroclaw,Krasińskiego,dolnośląskie,50-450,32,51.10619,17.0436,0
103,POP-WRO25,FIRMA HANDLOWA BAKARD,Wrocław,wroclaw,Boguszowska,dolnośląskie,54-046,82,51.150467,16.892196,0
104,POP-WRO30,SALONIK PRASOWY,Wrocław,wroclaw,Główna,dolnośląskie,54-061,69,51.16102,16.90586,0
105,POP-WRO47,MBE MAIL BOX,Wrocław,wroclaw,Krakowska,dolnośląskie,50-428,141/155,51.08253,17.07546,0
106,POP-WRO60,KWIACIARNIA,Wrocław,wroclaw,Bajana,dolnośląskie,54-129,43/1F,51.12764,16.96183,0
107,POP-WRO85,MAIL BOXES,Wrocław,wroclaw,Jedności Narodowej,dolnośląskie,50-262,79,51.12068,17.04194,0
108,POP-WRO95,SKLEP SPOŻYWCZO PRZEMYSŁOWY,Wrocław,wroclaw,Balzaka,dolnośląskie,52-437,22A,51.07643,16.95967,0
109,POP-WRP95,EUROSPAR SKY TOWER,Wrocław,wroclaw,Powstańców Śląskich,dolnośląskie,53-332,95,51.09462,17.02068,0
110,TOR01A,Parking Dworca Toruń Miasto,Toruń,torun,pl. 18 stycznia,kujawsko-pomorskie,87-100,4,53.01194,18.61954,0
111,TOR01F,na stacji paliw MOYA,Toruń,torun,Polna,kujawsko-pomorskie,87-100,142,53.03934,18.6479,0
112,TOR01L,Stacja paliw Shell,Toruń,torun,Grudziądzka,kujawsko-pomorskie,87-100,120,53.03038,18.61133,0
113,TOR01M,Na parkingu przy administracji SM Rubinkowo,Toruń,torun,Dziewulskiego,kujawsko-pomorskie,87-100,8,53.02854,18.67145,0
114,TOR02A,Przy markecie Twój Market,Toruń,torun,Legionów,kujawsko-pomorskie,87-100,27A,53.02033,18.60156,0
115,TOR02M,Przy sklepie Sumik,Toruń,torun,Łyskowskiego,kujawsko-pomorskie,87-100,23,53.02848,18.66128,0
116,TOR02N,Przy Dworcu Głównym,Toruń,torun,Kujawska,kujawsko-pomorskie,87-100,1,53.00103,18.61445,0
117,TOR03A,Przy markecie Netto,Toruń,torun,Dąbrowskiego,kujawsko-pomorskie,87-100,26,53.01636,18.60692,0
118,TOR03G,Posesja prywatna,Toruń,torun,Bartnicza,kujawsko-pomorskie,87-100,2,53.05757,18.56148,0
119,TOR03M,Przy sklepie meblowym Lorens,Toruń,torun,Targowa,kujawsko-pomorskie,87-100,41,53.02248,18.63324,0
120,TOR04A,Stacja paliw Awix,Toruń,torun,Poznańska,kujawsko-pomorskie,87-100,21,52.99531,18.60237,0
121,TOR04M,Na parkingu Art Deco,Toruń,torun,Turystyczna,kujawsko-pomorskie,87-100,38,53.01451,18.68186,0
122,TOR04N,Stacja paliw AMIC ENERGY,Toruń,torun,Bema,kujawsko-pomorskie,87-100,124,53.0139,18.5844,0
123,TOR05M,Na stacji paliw Orlen,Toruń,torun,Słupska,kujawsko-pomorskie,87-100,1,53.03275,18.70366,0
124,TOR05N,Stacja paliw AMIC ENERGY,Toruń,torun,Szosa Lubicka,kujawsko-pomorskie,87-100,176,53.02742,18.68604,0
125,TOR06A,Przy sklepie Carrefour,Toruń,torun,Ludwika Ślaskiego,kujawsko-pomorskie,87-120,7,53.02415,18.67542,0
126,TOR06M,Posesja prywatna,Toruń,torun,Jagiellońska,kujawsko-pomorskie,87-100,16,53.01926,18.613,0
127,TOR06N,Przy parkingu firmy Sellmet,Toruń,torun,Mazowiecka,kujawsko-pomorskie,87-100,72,53.04401,18.62645,0
128,TOR07A,Przy markecie Biedronka,Toruń,torun,Poznańska,kujawsko-pomorskie,87-100,190,52.98262,18.57388,0
129,TOR07M,Parking Lidl,Toruń,torun,Lubicka,kujawsko-pomorskie,87-100,55,53.01685,18.63557,0
130,TOR07N,Przy markecie Netto,Toruń,torun,Rydygiera,kujawsko-pomorskie,87-100,2,53.02414,18.65884,0
131,TOR08A,Stacja paliw BP,Toruń,torun,Szosa Lubicka,kujawsko-pomorskie,87-100,109,53.0249,18.6643,0
132,TOR08M,Na parkingu sklepu Lidl,Toruń,torun,Prüfferów,kujawsko-pomorskie,87-100,1,52.99465,18.60064,0
133,TOR08N,Przy parkingu przy niepublicznym przedszkolu,Toruń,torun,Jęczmienna,kujawsko-pomorskie,87-100,4,53.01353,18.6109,0
134,TOR09A,Na parkingu Żabki,Toruń,torun,Podgórna,kujawsko-pomorskie,87-100,30,53.02183,18.60165,0
135,TOR09M,Na parkingu Piotr i Paweł od strony Wielkiego Rowu,Toruń,torun,Legionów,kujawsko-pomorskie,87-100,216F,53.03321,18.60252,0
136,TOR10M,Parking przy Santander Bank,Toruń,torun,Grudziądzka,kujawsko-pomorskie,87-100,74-76,53.0237,18.6119,0
137,TOR10N,pasaż handlowy Stacja Północ,Toruń,torun,Szosa Chełmińska,kujawsko-pomorskie,87-100,176,53.03312,18.58797,0
138,TOR11A,Przy markecie Biedronka,Toruń,torun,Bażyńskich,kujawsko-pomorskie,87-100,20,53.02106,18.61564,0
139,TOR11M,na parkingu Polomarketu,Toruń,torun,Słowackiego,kujawsko-pomorskie,87-100,100,53.01259,18.57911,0
140,TOR11N,Przy aptece Różana,Toruń,torun,Olsztyńska,kujawsko-pomorskie,87-100,50,53.04033,18.69723,0
141,TOR12A,Przy markecie Biedronka,Toruń,torun,Fałata,kujawsko-pomorskie,87-100,21,53.01499,18.57474,0
142,TOR12M,Obok biblioteki,Toruń,torun,Słowackiego,kujawsko-pomorskie,87-100,8,53.01295,18.59615,0
143,TOR12N,Przy markecie Decathlon,Toruń,torun,Żółkiewskiego,kujawsko-pomorskie,87-100,31,53.02313,18.64122,0
144,TOR13M,Po lewej stronie od wejścia do Lidla,Toruń,torun,Gdańska,kujawsko-pomorskie,87-100,7-21,53.03579,18.69466,0
145,TOR13N,Przy sklepie Żabka,Toruń,torun,Turystyczna,kujawsko-pomorskie,87-100,71,53.00663,18.69568,0
146,TOR14A,Na parkingu Jarbass. wejście od ul. Łubinowej,Toruń,torun,Łubinowa,kujawsko-pomorskie,87-100,45C,53.04866,18.58486,0
147,TOR14M,Na parkingu sklepu Lidl,Toruń,torun,Bażyńskich,kujawsko-pomorskie,87-100,20,53.02081,18.61451,0
148,TOR14N,Przy hurtowni Expol,Toruń,torun,Polna,kujawsko-pomorskie,87-100,49,53.03747,18.62164,0
149,TOR15A,Przy parkingu UMK na skrzyżowaniu ulicy Fredry i Krasińskiego,Toruń,torun,Fredry,kujawsko-pomorskie,87-100,1,53.01064,18.59518,0
150,TOR15M,Na parkingu sklepu Lidl,Toruń,torun,Stawki Południowe,kujawsko-pomorskie,87-100,2-18,52.99093,18.63257,0
151,TOR15N,Przy posesji prywatnej,Toruń,torun,Studzienna,kujawsko-pomorskie,87-100,7,53.0171,18.6341,0
152,TOR16A,Na parkingu przy parking CUK,Toruń,torun,Kraszewskiego,kujawsko-pomorskie,87-100,27,53.01391,18.59147,0
153,TOR16M,Na parkingu sklepu Lidl,Toruń,torun,Szosa Chełmińska,kujawsko-pomorskie,87-100,183-189,53.03284,18.58618,0
154,TOR16N,Przy salonie BRW,Toruń,torun,Łódzka,kujawsko-pomorskie,87-100,42,52.9962,18.62474,0
155,TOR17A,Po lewej stronie od wejścia do sklepu Pepco,Toruń,torun,Waryńskiego,kujawsko-pomorskie,87-100,13,53.01534,18.62186,0
156,TOR17N,Przy sklepie spożywczym,Toruń,torun,Zdrojowa,kujawsko-pomorskie,87-100,8/10,52.97569,18.67778,0
157,TOR18A,Przy Intermarche,Toruń,torun,Ugory,kujawsko-pomorskie,87-100,4,53.04191,18.59799,0
158,TOR18M,Na parkingu sklepu Tesco,Toruń,torun,Reja,kujawsko-pomorskie,87-100,15,53.01298,18.57016,0
159,TOR18N,Przy sklepie Żabka,Toruń,torun,Świętego Józefa,kujawsko-pomorskie,87-100,12,53.02139,18.58374,0
160,TOR19M,Przy wjeździe na posesję,Toruń,torun,Klonowica,kujawsko-pomorskie,87-100,22A,53.01063,18.5823,0
161,TOR19N,Przy zajeździe Stawki,Toruń,torun,Andersa,kujawsko-pomorskie,87-100,8,52.99177,18.62947,0
162,TOR20M,Obok myjni samochodowej,Toruń,torun,Generała Karola Kniaziewicza,kujawsko-pomorskie,87-100,73,52.99485,18.61718,0
163,TOR20N,Przy Stacji Kontroli Pojazdów,Toruń,torun,Polna,kujawsko-pomorskie,87-100,103-105,53.03752,18.63685,0
164,TOR21M,Przy supermarkecie Torimpex,Toruń,torun,Leszczynowa,kujawsko-pomorskie,87-100,3,53.02659,18.65231,0
165,TOR21N,Przy banku PKO SA i przychodni,Toruń,torun,Poznańska,kujawsko-pomorskie,87-100,59,52.99358,18.59559,0
166,TOR22M,Przy sklepie spożywczym ABC,Toruń,torun,Szosa Chełmińska,kujawsko-pomorskie,87-100,140F,53.02843,18.59129,0
167,TOR23M,Obok myjni Banieczka,Toruń,torun,Łódzka,kujawsko-pomorskie,87-100,31,52.99715,18.62488,0
168,TOR23N,Przy Uniwersytecie Mikołaja Kopernika,Toruń,torun,Bojarskiego,kujawsko-pomorskie,87-100,2,53.02305,18.56767,0
169,TOR24M,Przy PoloMarket,Toruń,torun,KWIATOWA,kujawsko-pomorskie,87-100,1,53.04295,18.58031,0
170,TOR24N,Przy piekarni U Dziadka,Toruń,torun,Grudziądzka,kujawsko-pomorskie,87-100,81,53.0249,18.6111,0
171,TOR25N,Przy Centrum Handlowym Kometa,Toruń,torun,Grudziądzka,kujawsko-pomorskie,87-100,162,53.03548,18.61424,0
172,TOR26M,Przy markecie Torimpex,Toruń,torun,Kaliskiego,kujawsko-pomorskie,87-100,9,53.03373,18.59812,0
173,TOR26N,Przy Kościele,Toruń,torun,Szosa Chełmińska,kujawsko-pomorskie,87-100,233,53.0414,18.58046,0
174,TOR27M,Na parkingu sklepu Torimpex,Toruń,torun,Dziewulskiego,kujawsko-pomorskie,87-100,23,53.0285,18.67411,0
175,TOR27N,Przy Biurze Ogłoszeń Nowości,Toruń,torun,Konstytucji 3 maja,kujawsko-pomorskie,87-100,22A,53.0227,18.6821,0
176,TOR28M,Przy markecie Torimpex,Toruń,torun,Jeśmanowicza,kujawsko-pomorskie,87-100,2,53.02586,18.61232,0
177,TOR28N,Przy piekarni Piekuś Drive,Toruń,torun,Watzenrodego,kujawsko-pomorskie,87-100,2,53.04102,18.60012,0
178,TOR29M,Na parkingu Kaufland,Toruń,torun,gen. Józefa Bema,kujawsko-pomorskie,87-100,44-58,53.01689,18.58941,0
179,TOR29N,Przy sklepie Aldi,Toruń,torun,Legionów,kujawsko-pomorskie,87-100,222A,53.03577,18.59952,0
180,TOR30M,Przy Pepco,Toruń,torun,Łódzka,kujawsko-pomorskie,87-100,118,52.99221,18.63072,0
181,TOR30N,parking Pasażu Cegielnia przy wejściu do cukierni,Toruń,torun,Ceramiczna,kujawsko-pomorskie,87-100,2,53.04764,18.70087,0
182,TOR31M,Przy markecie LIDL,Toruń,torun,Niesiołowskiego,kujawsko-pomorskie,87-100,25,53.03105,18.67687,0
183,TOR31N,Przy sklepie Żabka,Toruń,torun,Grabowa,kujawsko-pomorskie,87-100,12,53.02318,18.65027,0
184,TOR32M,Na parkingu,Toruń,torun,Żółkiewskiego,kujawsko-pomorskie,87-100,5,53.02423,18.63551,0
185,TOR32N,Przy sklepie sieci Żabka,Toruń,torun,Mickiewicza,kujawsko-pomorskie,87-100,116,53.01201,18.5767,0
186,TOR33M,przed wejściem na targowisko miejskie,Toruń,torun,Szosa Chełmińska,kujawsko-pomorskie,87-100,31/35,53.01735,18.60004,0
187,TOR33N,Przy markecie Torimpex,Toruń,torun,Ligi Polskiej,kujawsko-pomorskie,87-100,12,53.02414,18.68719,0
188,TOR34M,na parkingu Toruń Plaza,Toruń,torun,Broniewskiego,kujawsko-pomorskie,87-100,90,53.01529,18.56322,0
189,TOR35M,na parkingu,Toruń,torun,Kosynierów Kościuszkowskich,kujawsko-pomorskie,87-100,13,53.02491,18.69569,0
190,TOR36M,przy myjni bezdotykowej,Toruń,torun,Szosa Chełmińska,kujawsko-pomorskie,87-100,212,53.03778,18.58416,0
191,TOR37M,przy myjni Avez Car Wash,Toruń,torun,Dziewulskiego,kujawsko-pomorskie,87-100,43,53.02758,18.68118,0
192,TOR38M,Przy ulicy Stromej,Toruń,torun,Rybaki,kujawsko-pomorskie,87-100,43,53.00872,18.5858,0
193,TOR39M,na parkingu Lidl,Toruń,torun,Rydygiera,kujawsko-pomorskie,87-100,50,53.02961,18.64451,0
194,TOR40M,na parkingu samochodowym po prawej stronie od wjazdu,Toruń,torun,Plac Świętej Katarzyny,kujawsko-pomorskie,87-100,,53.01361,18.61307,0
195,TOR41M,przy pawilonie Maciej,Toruń,torun,Konstytucji 3 Maja,kujawsko-pomorskie,87-100,10,53.02327,18.67674,0
196,TOR42M,na parkingu Polomarket,Toruń,torun,Świętopełka,kujawsko-pomorskie,87-100,13,53.02553,18.61693,0
197,TOR43M,na parkingu Polomarket,Toruń,torun,Poznańska,kujawsko-pomorskie,87-100,69,52.99372,18.59397,0
198,TOR44M,na parkingu Polomarket,Toruń,torun,Gagarina,kujawsko-pomorskie,87-100,34B,53.01775,18.56425,0
199,TOR45M,obok sklepu Livio,Toruń,torun,Narcyzowa,kujawsko-pomorskie,87-100,80C,53.04889,18.58427,0
200,TOR46M,na pasażu po lewej stronie od myjni,Toruń,torun,Ceramiczna,kujawsko-pomorskie,87-100,2,53.04698,18.69991,0
