id,code,description,city,city_eng,street,area,zip,building,latitude,longitude,count
107,WRO01W,Po prawej stronie od wejścia do hali kupców Perła,Wrocław,wroclaw,Widna,dolnośląskie,50-543,6,51.08336,17.04491,0
108,WRO02A,Stacja paliw Shell,Wrocław,wroclaw,Ślężna,dolnośląskie,53-111,144,51.07949,17.02101,0
109,WRO02B,Stacja paliw AMIC ENERGY,Wrocław,wroclaw,Toruńska,dolnośląskie,51-414,73,51.13063,17.07807,0
110,WRO02H,lokal wejscie od ulicy Wszystkich Świetych,Wrocław,wroclaw,Wszystkich Świętych,dolnośląskie,50-136,13,51.11204,17.0242,0
111,WRO02HO,Przy głównym wejściu. obok apteki,Wrocław,wroclaw,Powstańców Śląskich,dolnośląskie,53-332,96,51.09392,17.01903,0
112,WRO02HP,W sklepie Duży Ben,Wrocław,wroclaw,Więckowskiego,dolnośląskie,50-431,16,51.09842,17.05308,0
113,WRO02L,Przy stacji paliw Shell,Wrocław,wroclaw,Brucknera,dolnośląskie,51-411,53-55,51.13825,17.08227,0
114,WRO02M,Po prawej stronie za wjazdem na parking,Wrocław,wroclaw,Żółta,dolnośląskie,54-043,1,51.14518,16.88285,0
115,WRO02N,Przy sklepie Społem Południe,Wrocław,wroclaw,Pilczycka,dolnośląskie,54-150,140,51.1406,16.95811,0
116,WRO02W,Myjnia bezdotykowa 24h,Wrocław,wroclaw,Miłoszycka,dolnośląskie,51-502,97,51.12221,17.12093,0
117,WRO03A,Stacja paliw Shell,Wrocław,wroclaw,Obornicka,dolnośląskie,51-114,64,51.1387,17.02821,0
118,WRO03APP,Na rogu ulic Okulickiego/Odrodzenia Polski,Wrocław,wroclaw,Okulickiego 29,dolnośląskie,51-216,Wrocław,51.16386,17.12619,0
119,WRO03B,Stacji paliw BP,Wrocław,wroclaw,al. Karkonoska,dolnośląskie,53-015,63,51.06093,16.99374,0
120,WRO03H,Lokal użytkowy,Wrocław,wroclaw,Słubicka,dolnośląskie,53-615,20,51.11846,17.00063,0
121,WRO03HO,Poziom -1 przy wyjściu z parkingu .koło sklepu Action,Wrocław,wroclaw,Powstańców Śląskich,dolnośląskie,53-333,2-4,51.0995,17.02893,0
122,WRO03HP,W sklepie Duży Ben,Wrocław,wroclaw,Ameriga Vespucciego,dolnośląskie,51-505,26A,51.10704,17.12325,0
123,WRO03L,Stacja paliw Shell,Wrocław,wroclaw,Żmigrodzka,dolnośląskie,51-130,105/117,51.14412,17.03228,0
124,WRO03W,Przy Centrum Handlowym Galaktyka od ulicy Wiktora Brossa,Wrocław,wroclaw,Ślężna,dolnośląskie,53-111,130-134,51.08029,17.02303,0
125,WRO04A,Przy MSM Energetyk,Wrocław,wroclaw,Gajowicka,dolnośląskie,53-150,177,51.08542,17.00402,0
126,WRO04APP,Przy parkingu samochodowym,Wrocław,wroclaw,Celtycka,dolnośląskie,54-153,5,51.13796,16.97967,0
127,WRO04H,W lokalu użytkowym,Wrocław,wroclaw,Nowowiejska,dolnośląskie,50-314,26,51.12396,17.04799,0
128,WRO04HO,Pasaż z parkingu +1. CH Magnolia,Wrocław,wroclaw,Legnicka,dolnośląskie,54-204,58,51.11853,16.98921,0
129,WRO04HP,W sklepie Duży Ben,Wrocław,wroclaw,Pereca,dolnośląskie,53-444,12,51.09979,17.008,0
130,WRO04L,Stacja paliw Shell,Wrocław,wroclaw,Gubińska,dolnośląskie,54-434,6,51.11336,16.95821,0
131,WRO04M,Na terenie biurowca Kaufland od ulicy Ziębickiej PN-SB 6:00-19:30,Wrocław,wroclaw,al. Armii Krajowej,dolnośląskie,50-541,47,51.08195,17.05384,0
132,WRO04N,Stacja paliw Lotos,Wrocław,wroclaw,Trzebnicka,dolnośląskie,50-231,39,51.13039,17.03755,0
133,WRO04W,Po prawej stronie od wejścia do supermarketu,Wrocław,wroclaw,Hermanowska,dolnośląskie,54-314,59,51.1244,16.95,0
134,WRO05A,Przy SM Energetyk,Wrocław,wroclaw,Sokola,dolnośląskie,53-150,49,51.08252,17.0076,0
